               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10592,            0.078429,            0.064835,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0024,              0.0024,              0.0784
                   1,             0.10517,            0.087672,            0.064735,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0048515,           0.0048515,            0.055851
                   2,             0.10545,            0.086638,             0.06478,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0072535,           0.0072535,            0.033253
                   3,             0.10533,            0.074875,            0.064734,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009606,            0.009606,            0.010606
                   4,             0.10538,            0.079172,            0.064833,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                   5,             0.10305,            0.080729,            0.063854,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                   6,             0.10507,            0.085223,            0.064719,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   7,             0.10507,            0.079353,             0.06477,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   8,             0.10492,            0.083681,            0.064615,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009307,            0.009307,            0.009307
                   9,             0.10536,            0.073508,             0.06499,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                  10,             0.10517,            0.080156,            0.064786,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009109,            0.009109,            0.009109
                  11,              0.1048,            0.081224,            0.064607,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                  12,             0.10489,            0.077604,            0.064786,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008911,            0.008911,            0.008911
                  13,             0.10241,            0.073766,            0.062995,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                  14,             0.10471,            0.077784,            0.064796,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008713,            0.008713,            0.008713
                  15,             0.10611,            0.085008,              0.0648,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008614,            0.008614,            0.008614
                  16,              0.1058,            0.074592,            0.064776,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  17,             0.10551,            0.084125,            0.064793,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                  18,              0.1055,            0.086213,            0.064779,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008317,            0.008317,            0.008317
