               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.069352,            0.064901,            0.030583,              0.7763,             0.25226,             0.25879,            0.072343,            0.070357,            0.049978,            0.028898,            0.008845,            0.008845,            0.008845
                  37,            0.070813,            0.048953,             0.02972,             0.81743,             0.26383,             0.32232,            0.098973,            0.063858,            0.049415,            0.028937,            0.008812,            0.008812,            0.008812
                  38,            0.064305,            0.050162,            0.028612,             0.20423,             0.49003,             0.22211,            0.064217,            0.072231,            0.049604,            0.029157,            0.008779,            0.008779,            0.008779
                  39,            0.069233,            0.056749,            0.031183,             0.69737,             0.36012,             0.28463,            0.079497,            0.066195,            0.046369,            0.028359,            0.008746,            0.008746,            0.008746
                  40,            0.064915,            0.061117,            0.029873,             0.66427,             0.36357,             0.26931,            0.087123,            0.063524,            0.050781,            0.028546,            0.008713,            0.008713,            0.008713
                  41,            0.062348,             0.05728,            0.031215,             0.71218,             0.37321,             0.29725,             0.10458,            0.066195,            0.050247,            0.027596,             0.00868,             0.00868,             0.00868
                  42,             0.06482,            0.047348,            0.030223,             0.50659,             0.43987,             0.30196,            0.086652,            0.064865,            0.045963,              0.0277,            0.008647,            0.008647,            0.008647
                  43,            0.063813,             0.05542,            0.030322,             0.69724,             0.39426,              0.2866,              0.1074,             0.06613,            0.049085,            0.026483,            0.008614,            0.008614,            0.008614
                  44,            0.066818,            0.051978,            0.028107,             0.72195,             0.37454,             0.32688,             0.12012,            0.066916,            0.046485,            0.026431,            0.008581,            0.008581,            0.008581
                  45,            0.064594,            0.050491,            0.030446,             0.86997,             0.33007,             0.46695,             0.21099,            0.049215,             0.04449,             0.02575,            0.008548,            0.008548,            0.008548
                  46,            0.051948,            0.047124,            0.027679,             0.74286,             0.40049,             0.33209,             0.11196,              0.0608,            0.048446,            0.025612,            0.008515,            0.008515,            0.008515
                  47,            0.063468,            0.047092,            0.029008,             0.26351,             0.58579,             0.34239,             0.13268,            0.063191,            0.044416,            0.025148,            0.008482,            0.008482,            0.008482
                  48,            0.067769,            0.048393,            0.028165,             0.76417,             0.36756,             0.41548,             0.14966,            0.055964,            0.042869,            0.025171,            0.008449,            0.008449,            0.008449
                  49,            0.058766,            0.057957,            0.025046,             0.74745,             0.38978,             0.42201,              0.1794,            0.051163,            0.045063,            0.024538,            0.008416,            0.008416,            0.008416
                  50,            0.053408,            0.045635,            0.026232,             0.74286,             0.31281,             0.30388,             0.10419,            0.060116,             0.04423,            0.025047,            0.008383,            0.008383,            0.008383
                  51,            0.060751,            0.043557,            0.025362,             0.41228,             0.59347,             0.48619,             0.21377,            0.048497,            0.041687,            0.023814,             0.00835,             0.00835,             0.00835
